SURVEY: PS1MD
SNID:  PSc000076
IAUC:    UNKNOWN
RA:         129.2608  deg
DECL:        43.738  deg
MWEBV:  0.0245  +- 0.0000 MW E(B-V)
REDSHIFT_FINAL:  0.2600  +- 0.0000 CMB
SEARCH_PEAKMJD: 55207.0
FILTERS:    griz

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 390
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55242.3 r NULL  47.727 7.637 -9.197 0.174
OBS: 55248.4 r NULL  46.934 11.412 -9.179 0.264
OBS: 55275.4 r NULL  23.562 8.347 -8.431 0.385
OBS: 55482.6 r NULL  8.026 8.219 -7.261 1.112
OBS: 55485.6 r NULL  1.455 8.822 -5.407 6.585
OBS: 55503.6 r NULL  10.109 7.835 -7.512 0.842
OBS: 55509.6 r NULL  8.445 6.172 -7.316 0.794
OBS: 55515.6 r NULL  -8.141 6.414 nan -0.855
OBS: 55518.6 r NULL  -1.286 7.814 nan -6.595
OBS: 55530.6 r NULL  4.433 12.080 -6.617 2.959
OBS: 55545.5 r NULL  -0.174 6.072 nan -37.798
OBS: 55560.4 r NULL  0.956 7.834 -4.951 8.901
OBS: 55563.6 r NULL  24.117 16.941 -8.456 0.763
OBS: 55566.6 r NULL  -26.945 10.360 nan -0.417
OBS: 55584.5 r NULL  5.142 13.436 -6.778 2.837
OBS: 55587.6 r NULL  -12.722 11.486 nan -0.980
OBS: 55590.6 r NULL  0.389 5.514 -3.974 15.407
OBS: 55593.6 r NULL  2.827 9.163 -6.128 3.519
OBS: 55596.3 r NULL  1.607 7.522 -5.515 5.083
OBS: 55602.3 r NULL  -0.323 6.403 nan -21.551
OBS: 55632.3 r NULL  -15.992 11.543 nan -0.784
OBS: 55632.3 r NULL  -12.679 11.065 nan -0.948
OBS: 55650.4 r NULL  1.843 6.602 -5.664 3.889
OBS: 55653.3 r NULL  1.014 7.451 -5.015 7.977
OBS: 55665.3 r NULL  -14.457 17.824 nan -1.339
OBS: 55888.5 r NULL  -0.887 12.242 nan -14.981
OBS: 55892.5 r NULL  17.622 11.695 -8.115 0.721
OBS: 55895.6 r NULL  9.987 7.146 -7.499 0.777
OBS: 55911.6 r NULL  -22.566 11.851 nan -0.570
OBS: 55947.4 r NULL  -12.384 12.941 nan -1.135
OBS: 55948.4 r NULL  -8.488 13.889 nan -1.777
OBS: 55952.6 r NULL  0.976 7.298 -4.974 8.118
OBS: 55955.3 r NULL  -1.453 8.925 nan -6.667
OBS: 55970.4 r NULL  -2.530 12.303 nan -5.280
OBS: 55984.3 r NULL  -9.938 8.047 nan -0.879
OBS: 56000.4 r NULL  -4.964 6.295 nan -1.377
OBS: 56006.4 r NULL  11.252 7.180 -7.628 0.693
OBS: 56238.6 r NULL  -10.377 12.769 nan -1.336
OBS: 56242.6 r NULL  34.220 12.649 -8.836 0.401
OBS: 56268.6 r NULL  -19.100 11.467 nan -0.652
OBS: 56271.6 r NULL  -1.279 7.620 nan -6.468
OBS: 56282.6 r NULL  11.871 6.886 -7.686 0.630
OBS: 56295.5 r NULL  -2.058 11.780 nan -6.215
OBS: 56302.4 r NULL  4.800 8.812 -6.703 1.993
OBS: 56309.6 r NULL  7.128 11.320 -7.132 1.724
OBS: 56325.5 r NULL  2.733 14.658 -6.092 5.822
OBS: 56328.4 r NULL  0.328 13.758 -3.790 45.541
OBS: 56331.5 r NULL  1.801 10.953 -5.639 6.604
OBS: 56332.5 r NULL  -3.519 4.934 nan -1.522
OBS: 56354.4 r NULL  0.485 6.908 -4.215 15.457
OBS: 56357.3 r NULL  -2.088 9.265 nan -4.817
OBS: 56360.3 r NULL  -10.150 11.255 nan -1.204
OBS: 56371.3 r NULL  -62.507 28.509 nan -0.495
OBS: 56384.3 r NULL  -5.846 20.835 nan -3.870
OBS: 56387.3 r NULL  -2.107 13.219 nan -6.813
OBS: 56391.3 r NULL  2.842 10.057 -6.134 3.842
OBS: 56395.3 r NULL  9.361 9.953 -7.428 1.154
OBS: 56398.3 r NULL  -86.033 144.358 nan -1.822
OBS: 56420.3 r NULL  -3.217 5.712 nan -1.927
OBS: 56622.6 r NULL  0.683 15.007 -4.585 23.873
OBS: 56630.6 r NULL  4.227 8.170 -6.565 2.099
OBS: 56656.6 r NULL  1.133 9.906 -5.136 9.489
OBS: 56663.5 r NULL  -2.164 11.014 nan -5.526
OBS: 56666.6 r NULL  -1.010 11.539 nan -12.406
OBS: 56682.4 r NULL  0.432 7.948 -4.089 19.967
OBS: 56709.3 r NULL  -20.175 20.018 nan -1.077
OBS: 55174.5 i NULL  9.103 10.915 -7.398 1.302
OBS: 55180.5 i NULL  -5.144 9.262 nan -1.955
OBS: 55183.5 i NULL  2.455 10.863 -5.975 4.805
OBS: 55189.5 i NULL  -3.155 8.439 nan -2.904
OBS: 55192.4 i NULL  0.028 9.099 -1.106 356.651
OBS: 55204.5 i NULL  -7.556 8.261 nan -1.187
OBS: 55204.5 i NULL  -11.091 8.476 nan -0.830
OBS: 55207.5 i NULL  34.693 8.619 -8.851 0.270
OBS: 55210.4 i NULL  90.572 44.096 -9.892 0.529
OBS: 55213.4 i NULL  69.503 8.906 -9.605 0.139
OBS: 55219.5 i NULL  94.482 12.678 -9.938 0.146
OBS: 55222.4 i NULL  68.929 13.095 -9.596 0.206
OBS: 55231.4 i NULL  87.662 11.616 -9.857 0.144
OBS: 55234.4 i NULL  73.038 11.310 -9.659 0.168
OBS: 55237.5 i NULL  64.829 10.588 -9.529 0.177
OBS: 55240.4 i NULL  52.865 8.803 -9.308 0.181
OBS: 55243.3 i NULL  73.153 11.292 -9.661 0.168
OBS: 55246.3 i NULL  54.473 13.901 -9.340 0.277
OBS: 55249.5 i NULL  50.485 15.106 -9.258 0.325
OBS: 55258.4 i NULL  50.423 17.995 -9.257 0.387
OBS: 55264.4 i NULL  42.790 23.860 -9.078 0.605
OBS: 55267.3 i NULL  44.652 12.678 -9.125 0.308
OBS: 55477.6 i NULL  5.952 9.594 -6.937 1.750
OBS: 55480.6 i NULL  18.308 12.790 -8.157 0.758
OBS: 55483.6 i NULL  1.847 10.832 -5.666 6.368
OBS: 55501.6 i NULL  -3.600 10.900 nan -3.287
OBS: 55507.6 i NULL  10.542 9.185 -7.557 0.946
OBS: 55510.6 i NULL  3.589 8.970 -6.387 2.714
