SURVEY: PS1MD
SNID:  PSc370330
IAUC:    UNKNOWN
RA:        150.1864167  deg
DECL:       1.7092833  deg
MWEBV: 0.0163 +- 0.0007 MW E(B-V)
REDSHIFT_FINAL:  0.1678 +- 0.0010  (CMB)
SEARCH_PEAKMJD: 56000.0
FILTERS:    griz

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 322
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55161.6 g NULL  15.745 11.920 -7.993 0.822
OBS: 55176.6 g NULL  3.467 8.177 -6.350 2.560
OBS: 55179.6 g NULL  11.855 7.507 -7.685 0.688
OBS: 55188.6 g NULL  -3.197 8.900 nan -3.023
OBS: 55191.5 g NULL  11.082 6.764 -7.612 0.663
OBS: 55206.6 g NULL  4.847 4.125 -6.714 0.924
OBS: 55212.5 g NULL  -1.110 4.740 nan -4.636
OBS: 55215.6 g NULL  -6.749 5.242 nan -0.843
OBS: 55217.5 g NULL  -3.774 3.566 nan -1.026
OBS: 55221.5 g NULL  -12.755 8.087 nan -0.688
OBS: 55230.4 g NULL  3.940 55.313 -6.489 15.244
OBS: 55233.5 g NULL  17.844 10.236 -8.129 0.623
OBS: 55236.5 g NULL  -47.487 8.638 nan -0.197
OBS: 55239.5 g NULL  12.741 8.065 -7.763 0.687
OBS: 55242.4 g NULL  -1.132 5.159 nan -4.949
OBS: 55248.4 g NULL  8.648 8.889 -7.342 1.116
OBS: 55275.4 g NULL  1.137 6.745 -5.139 6.443
OBS: 55302.4 g NULL  -12.120 18.450 nan -1.653
OBS: 55305.3 g NULL  6.331 11.585 -7.004 1.987
OBS: 55320.3 g NULL  3.176 7.662 -6.255 2.619
OBS: 55545.5 g NULL  3.729 5.642 -6.429 1.643
OBS: 55560.6 g NULL  7.862 9.298 -7.239 1.284
OBS: 55563.6 g NULL  -9.008 10.681 nan -1.287
OBS: 55566.6 g NULL  4.058 9.038 -6.521 2.418
OBS: 55572.5 g NULL  -19.332 14.118 nan -0.793
OBS: 55587.6 g NULL  1.036 11.005 -5.039 11.530
OBS: 55590.5 g NULL  -1.025 4.014 nan -4.252
OBS: 55593.5 g NULL  -2.982 6.764 nan -2.462
OBS: 55596.4 g NULL  -3.096 6.265 nan -2.197
OBS: 55602.4 g NULL  -9.250 22.511 nan -2.642
OBS: 55614.3 g NULL  32.581 14.834 -8.782 0.494
OBS: 55629.3 g NULL  7.453 8.376 -7.181 1.220
OBS: 55632.3 g NULL  8.642 8.108 -7.342 1.019
OBS: 55635.3 g NULL  8.221 14.956 -7.287 1.975
OBS: 55644.4 g NULL  15.914 43.830 -8.004 2.990
OBS: 55650.4 g NULL  1.970 8.304 -5.736 4.576
OBS: 55653.4 g NULL  0.744 5.406 -4.679 7.890
OBS: 55662.3 g NULL  -7.509 10.305 nan -1.490
OBS: 55674.3 g NULL  -0.031 3.233 nan -112.857
OBS: 55677.3 g NULL  -3.992 7.210 nan -1.961
OBS: 55680.3 g NULL  -4.497 11.614 nan -2.804
OBS: 55941.6 g NULL  -3.370 13.761 nan -4.433
OBS: 55947.6 g NULL  -1.597 6.443 nan -4.380
OBS: 55949.6 g NULL  -9.208 15.840 nan -1.868
OBS: 55952.6 g NULL  4.551 5.479 -6.645 1.307
OBS: 55955.6 g NULL  5.863 9.312 -6.920 1.725
OBS: 55970.5 g NULL  12.323 9.710 -7.727 0.856
OBS: 55973.5 g NULL  6.134 5.995 -6.969 1.061
OBS: 55984.3 g NULL  9.047 8.810 -7.391 1.057
OBS: 56000.5 g NULL  79.063 8.781 -9.745 0.121
OBS: 56006.4 g NULL  166.141 7.455 -10.551 0.049
OBS: 56014.3 g NULL  134.980 9.549 -10.326 0.077
OBS: 56029.4 g NULL  37.552 6.308 -8.937 0.182
OBS: 56032.4 g NULL  27.679 5.929 -8.605 0.233
OBS: 56040.3 g NULL  17.607 7.359 -8.114 0.454
OBS: 56043.3 g NULL  13.394 5.888 -7.817 0.477
OBS: 56325.5 g NULL  -2.126 15.916 nan -8.127
OBS: 56328.5 g NULL  -6.952 6.481 nan -1.012
OBS: 56331.6 g NULL  -12.240 8.143 nan -0.722
OBS: 56333.4 g NULL  7.712 6.663 -7.218 0.938
OBS: 56336.5 g NULL  3.532 6.364 -6.370 1.956
OBS: 56354.4 g NULL  -2.007 12.250 nan -6.628
OBS: 56357.4 g NULL  -3.164 7.178 nan -2.464
OBS: 56360.3 g NULL  0.445 9.637 -4.120 23.529
OBS: 56384.3 g NULL  -30.314 10.427 nan -0.373
OBS: 56387.4 g NULL  -2.057 12.866 nan -6.791
OBS: 56395.3 g NULL  -4.275 9.495 nan -2.411
OBS: 56416.3 g NULL  -8.944 3.936 nan -0.478
OBS: 56625.6 g NULL  -4.513 7.019 nan -1.689
OBS: 56630.6 g NULL  3.097 8.082 -6.227 2.833
OBS: 56636.6 g NULL  1.576 9.589 -5.494 6.608
OBS: 56657.6 g NULL  -15.758 10.442 nan -0.720
OBS: 56666.6 g NULL  1.258 10.297 -5.249 8.885
OBS: 56709.3 g NULL  10.073 13.866 -7.508 1.495
OBS: 55161.6 r NULL  29.826 15.453 -8.686 0.563
OBS: 55176.6 r NULL  -12.238 8.479 nan -0.752
OBS: 55179.6 r NULL  -5.235 6.498 nan -1.348
OBS: 55179.6 r NULL  -8.136 6.712 nan -0.896
OBS: 55188.6 r NULL  10.945 7.412 -7.598 0.735
OBS: 55206.6 r NULL  2.739 4.192 -6.094 1.662
OBS: 55212.5 r NULL  3.260 4.174 -6.283 1.390
OBS: 55217.5 r NULL  -5.969 4.318 nan -0.785
OBS: 55221.5 r NULL  -9.817 9.294 nan -1.028
OBS: 55230.4 r NULL  20.315 57.030 -8.270 3.048
OBS: 55233.5 r NULL  -11.070 11.780 nan -1.155
OBS: 55236.5 r NULL  -26.977 8.759 nan -0.353
OBS: 55239.5 r NULL  6.759 9.069 -7.075 1.457
OBS: 55242.4 r NULL  -4.435 6.419 nan -1.572
OBS: 55248.4 r NULL  -0.553 6.967 nan -13.687
OBS: 55275.4 r NULL  -8.647 8.091 nan -1.016
OBS: 55290.4 r NULL  8.185 32.944 -7.283 4.370
OBS: 55302.4 r NULL  9.729 23.680 -7.470 2.643
OBS: 55305.3 r NULL  -2.286 13.061 nan -6.204
OBS: 55320.3 r NULL  15.260 10.252 -7.959 0.729
OBS: 55545.5 r NULL  -1.930 6.065 nan -3.412
OBS: 55560.6 r NULL  -7.202 9.650 nan -1.455
OBS: 55563.6 r NULL  9.647 8.648 -7.461 0.973
OBS: 55566.6 r NULL  2.049 6.724 -5.779 3.563
OBS: 55572.6 r NULL  3.336 10.394 -6.308 3.383
OBS: 55590.5 r NULL  2.923 5.420 -6.165 2.013
OBS: 55593.5 r NULL  8.770 7.117 -7.358 0.881
OBS: 55596.4 r NULL  2.713 5.519 -6.084 2.209
OBS: 55602.4 r NULL  -8.998 11.462 nan -1.383
OBS: 55614.4 r NULL  109.252 94.002 -10.096 0.934
OBS: 55629.3 r NULL  2.407 5.101 -5.954 2.300
OBS: 55632.3 r NULL  3.775 5.292 -6.442 1.522
OBS: 55635.3 r NULL  9.630 9.165 -7.459 1.033
OBS: 55644.4 r NULL  20.143 31.905 -8.260 1.720
OBS: 55650.4 r NULL  -13.163 7.619 nan -0.628
OBS: 55653.4 r NULL  9.334 9.323 -7.425 1.085
OBS: 55662.3 r NULL  2.933 10.802 -6.168 3.999
OBS: 55674.3 r NULL  -3.284 6.527 nan -2.158
OBS: 55677.3 r NULL  1.464 7.316 -5.414 5.424
OBS: 55680.3 r NULL  -24.314 14.071 nan -0.628
OBS: 55941.6 r NULL  3.137 12.016 -6.241 4.159
OBS: 55947.6 r NULL  9.128 9.092 -7.401 1.082
OBS: 55948.4 r NULL  -1.014 15.225 nan -16.299
OBS: 55952.6 r NULL  6.115 6.273 -6.966 1.114
OBS: 55955.6 r NULL  -1.502 9.897 nan -7.157
OBS: 55970.5 r NULL  -11.484 10.591 nan -1.001
OBS: 55973.5 r NULL  0.594 8.784 -4.434 16.061
OBS: 55984.3 r NULL  3.945 6.667 -6.490 1.835
OBS: 56000.5 r NULL  96.026 10.163 -9.956 0.115
OBS: 56006.4 r NULL  206.488 10.992 -10.787 0.058
OBS: 56014.3 r NULL  263.779 7.960 -11.053 0.033
OBS: 56029.4 r NULL  130.410 8.333 -10.288 0.069
OBS: 56032.4 r NULL  95.177 9.646 -9.946 0.110
OBS: 56040.3 r NULL  67.245 8.444 -9.569 0.136
OBS: 56043.3 r NULL  64.982 5.283 -9.532 0.088
OBS: 56325.6 r NULL  -14.840 14.707 nan -1.076
OBS: 56328.5 r NULL  -2.718 13.465 nan -5.378
OBS: 56331.6 r NULL  -13.876 10.241 nan -0.801
OBS: 56336.5 r NULL  -10.549 7.553 nan -0.777
OBS: 56354.5 r NULL  0.654 10.698 -4.538 17.774
OBS: 56357.4 r NULL  20.400 10.008 -8.274 0.533
OBS: 56360.3 r NULL  0.960 9.976 -4.956 11.284
OBS: 56384.3 r NULL  6.717 11.422 -7.068 1.846
OBS: 56387.4 r NULL  0.575 6.694 -4.398 12.648
OBS: 56391.3 r NULL  -6.148 5.890 nan -1.040
OBS: 56395.3 r NULL  11.721 7.368 -7.672 0.682
OBS: 56416.3 r NULL  3.205 9.234 -6.265 3.128
OBS: 56625.6 r NULL  -2.548 7.112 nan -3.031
OBS: 56630.6 r NULL  -0.088 9.089 nan -112.658
OBS: 56636.6 r NULL  -0.069 5.638 nan -89.236
OBS: 56656.6 r NULL  11.642 8.798 -7.665 0.820
OBS: 56666.6 r NULL  1.228 8.722 -5.223 7.712
OBS: 56682.6 r NULL  -5.411 7.646 nan -1.534
OBS: 56709.4 r NULL  6.352 19.910 -7.007 3.403
OBS: 55180.6 i NULL  -4.573 8.471 nan -2.011
OBS: 55183.6 i NULL  16.557 8.310 -8.047 0.545
OBS: 55186.6 i NULL  25.414 13.873 -8.513 0.593
OBS: 55189.6 i NULL  -6.508 7.208 nan -1.203
