g-band PS1-11jg  55497.5  9.4 10.9 -1.0 0.3 0.3 -2.1 0.6 0.5 -3.4 1.0 1.1 -3.0 0.5 0.5 -5.0 1.0 1.0 1.0 0.4 0.3  5  2  1 101 31 24 10  7  4 1.00 1.09 0.50 0.010 0.025 0.007
g-band PS1-11kf  55578.9  7.5  8.5 -1.0 0.3 0.3 -2.0 0.6 0.7 -3.0 0.2 0.2 -2.9 0.5 0.5 -4.8 1.1 1.1 1.0 0.4 0.3  6  2  1 113 35 25 10  7  4 5.15 1.97 1.19 0.010 0.018 0.007
g-band PS1-11li  55600.7  0.7  0.8 -1.0 0.3 0.3 -2.2 0.4 0.5 -3.5 0.1 0.1 -3.0 0.5 0.5 -5.0 1.0 0.9 1.0 0.3 0.3  4  1  1 101 36 17 10  7  4 0.27 0.04 0.03 0.005 0.004 0.003
g-band PS1-11lj  55603.6  0.6  0.7 -1.0 0.3 0.3 -2.7 0.5 0.5 -3.9 0.1 0.1 -2.4 0.3 0.3 -4.8 1.2 1.1 0.9 0.3 0.2  4  1  1  82  3  4 18  7  6 0.52 0.03 0.03 0.004 0.005 0.003
g-band PS1-11lr  55611.5  0.5  0.6 -1.0 0.3 0.3 -2.1 0.7 0.6 -4.0 0.1 0.1 -3.0 0.5 0.5 -5.0 1.0 0.9 1.0 0.4 0.3  5  2  1 100 37 26 10  6  4 0.46 0.03 0.03 0.003 0.003 0.002
g-band PS1-11lq  55612.4  0.7  0.7 -1.0 0.3 0.3 -2.6 0.5 0.5 -2.9 0.1 0.1 -3.0 0.5 0.5 -5.1 1.0 0.9 0.9 0.3 0.2  4  1  1  99 35 28 10  6  4 1.31 0.09 0.08 0.009 0.007 0.006
g-band PS1-11md  55616.6  4.3  5.4 -1.0 0.3 0.3 -2.1 0.6 0.6 -3.1 0.1 0.1 -3.0 0.5 0.5 -5.0 1.0 1.1 1.0 0.3 0.3  5  2  1  98 35 25 10  6  4 2.89 0.55 0.41 0.006 0.009 0.004
g-band PS1-11pf  55633.2  0.2  0.4 -1.0 0.3 0.3 -2.1 0.5 0.5 -2.8 0.1 0.1 -3.0 0.5 0.5 -5.0 1.0 1.0 1.0 0.3 0.3  5  2  1  99 32 26 10  6  4 2.24 0.32 0.32 0.006 0.010 0.004
g-band PS1-11qe  55644.4  0.5  0.9 -1.0 0.3 0.3 -2.1 0.6 0.7 -3.2 0.1 0.1 -2.3 0.3 0.3 -4.4 1.0 1.2 0.9 0.3 0.2  4  1  1  46  9  4 15  7  6 5.31 0.24 0.22 0.010 0.020 0.007
g-band PS1-11si  55671.1  0.6  0.7 -1.0 0.3 0.3 -2.1 0.6 0.6 -3.5 1.0 1.0 -3.0 0.5 0.5 -5.0 1.0 1.0 1.0 0.4 0.2  5  2  1  99 35 23 10  6  4 1.03 0.92 0.52 0.010 0.033 0.007
g-band PS1-11sm  55659.3  0.6  0.8 -1.0 0.3 0.3 -2.7 0.5 0.5 -2.6 0.2 0.1 -3.0 0.5 0.5 -5.1 0.9 0.9 1.0 0.3 0.3  4  1  1  99 35 26 10  6  4 2.22 0.17 0.14 0.018 0.047 0.014
g-band PS1-11ua  55646.7  7.3 11.3 -1.0 0.3 0.3 -2.1 0.6 0.5 -2.9 0.2 0.1 -3.0 0.5 0.5 -5.0 0.9 1.0 1.0 0.4 0.3  5  2  1 101 33 23 10  7  4 5.08 2.47 1.44 0.008 0.019 0.006
g-band PS1-11uv  55670.8  0.6  1.4 -1.0 0.3 0.3 -2.5 0.6 0.6 -3.5 0.1 0.1 -3.0 0.5 0.5 -5.0 0.9 0.9 0.9 0.3 0.2  3  1  1  99 32 23 10  7  4 0.42 0.01 0.01 0.003 0.003 0.002
g-band PS1-11vn  55673.1  0.4  0.5 -1.0 0.3 0.3 -3.1 0.4 0.4 -2.8 0.2 0.1 -3.0 0.5 0.5 -5.0 1.0 1.0 0.9 0.3 0.2  4  1  1 101 31 25 10  6  4 1.60 0.14 0.10 0.044 0.023 0.026
g-band PS1-11wj  55669.5  0.6  0.8 -1.0 0.3 0.3 -2.3 0.6 0.5 -3.4 0.8 0.9 -3.0 0.5 0.5 -5.0 1.0 0.9 1.0 0.3 0.3  4  1  1  98 35 24 10  7  4 0.77 0.11 0.10 0.110 0.039 0.030
g-band PS1-11yh  55690.8  4.3  5.5 -1.0 0.3 0.3 -2.1 0.6 0.6 -3.1 0.1 0.1 -3.0 0.5 0.5 -5.0 1.0 0.9 1.0 0.4 0.3  5  2  1 102 34 27 10  6  4 2.14 0.41 0.34 0.009 0.019 0.006
g-band PS1-11amh 55790.3  0.5  0.6 -1.0 0.3 0.3 -2.2 0.7 0.6 -3.5 0.1 0.1 -3.5 0.4 0.5 -5.5 0.5 0.8 0.9 0.3 0.2  3  1  1  36  4  3  6  3  2 2.15 0.06 0.05 0.052 0.008 0.007
g-band PS1-11amv 55801.5  0.6  0.4 -1.0 0.3 0.4 -1.7 0.5 0.6 -3.4 0.9 1.0 -3.0 0.5 0.4 -5.0 1.0 0.9 1.0 0.3 0.3  6  2  1 100 37 24 10  6  4 0.44 0.35 0.16 0.003 0.001 0.002
